hour,day_of_year,month,temperature_c,relative_humidity_percent,ghi_w_m2,dni_w_m2,dhi_w_m2,location,latitude,longitude,days_since_planting,growth_stage,heat_index_approx,heat_risk_class
0,116,4,11.1,75.43052628,1.196847492,13.32624511,0,Virginia,37.5,-77.5,0,planted,16.09595896,Low
1,116,4,10.23,38.14411845,233.4452303,80.11351982,72.38304473,Virginia,37.5,-77.5,0,planted,12.61279386,Low
2,116,4,9.36,68.71460755,360.6728806,241.8866581,74.48271086,Virginia,37.5,-77.5,0,planted,13.40705035,Low
3,116,4,8.49,89.36915699,536.0708605,510.3383396,138.9376737,Virginia,37.5,-77.5,0,planted,13.45077894,Low
4,116,4,7.62,39.00117278,731.6825361,549.7914331,179.813868,Virginia,37.5,-77.5,0,planted,9.659638112,Low
5,116,4,8.252727273,38.51669252,856.7323191,565.3033939,160.9712762,Virginia,37.5,-77.5,0,planted,10.3563461,Low
6,116,4,8.885454545,58.07006467,770.4634464,643.9472145,188.661377,Virginia,37.5,-77.5,0,planted,12.19698259,Low
7,116,4,9.518181818,68.5596845,800.6841054,531.1102858,196.5904922,Virginia,37.5,-77.5,0,planted,13.59967455,Low
8,116,4,10.15090909,31.59278018,690.9557426,530.1577078,171.9223551,Virginia,37.5,-77.5,0,planted,12.11394724,Low
9,116,4,10.78363636,59.98025472,620.273239,453.3268329,140.9639945,Virginia,37.5,-77.5,0,planted,14.67280718,Low
10,116,4,11.41636364,34.99022111,343.4044192,243.3314929,72.18517004,Virginia,37.5,-77.5,0,planted,13.78348713,Low
11,116,4,12.04909091,44.47942661,208.033281,117.8247962,26.89755577,Virginia,37.5,-77.5,0,planted,15.18798866,Low
12,116,4,12.68181818,72.74385719,0,0,12.46284346,Virginia,37.5,-77.5,0,planted,18.03579962,Low
13,116,4,13.31454545,74.33189685,0,0,0,Virginia,37.5,-77.5,0,planted,19.01930869,Low
14,116,4,13.94727273,73.78394703,0,0,0,Virginia,37.5,-77.5,0,planted,19.85099643,Low
15,116,4,14.58,33.90878004,0,0,0,Virginia,37.5,-77.5,0,planted,17.40812385,Low
16,116,4,13.80666667,77.20578652,0,0,0,Virginia,37.5,-77.5,0,planted,19.92732707,Low
17,116,4,13.03333333,55.93242029,0,0,0,Virginia,37.5,-77.5,0,planted,17.24695089,Low
18,116,4,12.26,58.5185748,0,0,0,Virginia,37.5,-77.5,0,planted,16.44801513,Low
19,116,4,11.48666667,55.18142837,0,0,0,Virginia,37.5,-77.5,0,planted,15.23734128,Low
20,116,4,10.71333333,81.4213425,0,0,0,Virginia,37.5,-77.5,0,planted,15.96787235,Low
21,116,4,9.94,70.79822178,0,0,0,Virginia,37.5,-77.5,0,planted,14.27686182,Low
22,116,4,9.166666667,60.0015505,0,0,0,Virginia,37.5,-77.5,0,planted,12.65444223,Low
23,116,4,8.393333333,80.05722132,0,0,0,Virginia,37.5,-77.5,0,planted,12.80796343,Low
0,117,4,19.4,78.32180978,0,0,0,Virginia,37.5,-77.5,1,planted,28.30839123,Low
1,117,4,18.155,30.30264983,236.2043822,194.1626537,24.49592193,Virginia,37.5,-77.5,1,planted,21.33937049,Low
2,117,4,16.91,58.73279788,422.9950882,342.9374182,122.8608394,Virginia,37.5,-77.5,1,planted,22.60842729,Low
3,117,4,15.665,32.53476658,566.4435169,450.5432383,120.0973421,Virginia,37.5,-77.5,1,planted,18.57742306,Low
4,117,4,14.42,48.4311889,585.0973188,528.8454044,186.7138057,Virginia,37.5,-77.5,1,planted,18.41725233,Low
5,117,4,15.32545455,78.23024061,826.5952818,638.4872526,191.9484975,Virginia,37.5,-77.5,1,planted,22.17548405,Low
6,117,4,16.23090909,86.64314113,842.4959729,540.6019391,210.3972525,Virginia,37.5,-77.5,1,planted,24.27677141,Moderate
7,117,4,17.13636364,44.52399964,745.1213738,559.5359219,194.1913426,Virginia,37.5,-77.5,1,planted,21.51959105,Low
8,117,4,18.04181818,31.28550893,760.8826719,485.3633273,163.4815696,Virginia,37.5,-77.5,1,planted,21.30579271,Low
9,117,4,18.94727273,54.14018063,516.6037693,417.3738009,132.8854544,Virginia,37.5,-77.5,1,planted,24.93098477,Low
10,117,4,19.85272727,50.10713032,404.5683328,294.4477557,119.218608,Virginia,37.5,-77.5,1,planted,25.71739159,Low
11,117,4,20.75818182,70.61797096,212.3557286,148.2344891,36.57564907,Virginia,37.5,-77.5,1,planted,29.50798189,Low
12,117,4,21.66363636,59.70346035,11.80415715,101.4593812,0,Virginia,37.5,-77.5,1,planted,29.49197678,Low
13,117,4,22.56909091,53.93083581,0,0,0,Virginia,37.5,-77.5,1,planted,30.04982278,Low
14,117,4,23.47454545,43.77333586,0,0,0,Virginia,37.5,-77.5,1,planted,29.89556708,Low
15,117,4,24.38,79.70882392,0,0,0,Virginia,37.5,-77.5,1,planted,36.74063023,Low
16,117,4,23.27333333,44.90335721,0,0,0,Virginia,37.5,-77.5,1,planted,29.7789563,Low
17,117,4,22.16666667,33.28409874,0,0,0,Virginia,37.5,-77.5,1,planted,26.66966169,Low
18,117,4,21.06,63.87663051,0,0,0,Virginia,37.5,-77.5,1,planted,29.12561481,Low
19,117,4,19.95333333,49.04092477,0,0,0,Virginia,37.5,-77.5,1,planted,25.72975163,Low
20,117,4,18.84666667,72.74610825,0,0,0,Virginia,37.5,-77.5,1,planted,26.83553698,Low
21,117,4,17.74,34.85230011,0,0,0,Virginia,37.5,-77.5,1,planted,21.30657352,Low
22,117,4,16.63333333,87.97845387,0,0,0,Virginia,37.5,-77.5,1,planted,25.01839082,Low
23,117,4,15.52666667,41.21148094,0,0,0,Virginia,37.5,-77.5,1,planted,19.18279208,Low
0,118,4,17.2,51.42341384,0,0,8.772034973,Virginia,37.5,-77.5,2,planted,22.28320024,Low
1,118,4,16.45,58.8572976,292.4100989,203.008614,25.63254942,Virginia,37.5,-77.5,2,planted,21.99357491,Low
