animal_id,farm_id,species,breed,age_years,weight_kg,sex,physiological_stage,latitude,longitude,temperature_c,humidity_percent,thi,hli,risk_level
695,FARM_007,goat,Toggenburg,2.477464966,56.94191664,female,lactating,32.09240791,4.607232427,37.13,66,91.3,37,Critical
135,FARM_002,sheep,Dorper,5.393956371,66.74528073,female,growing,38.95275237,12.29163764,38.21,42,87.15,37.64,Critical
573,FARM_006,goat,Saanen,6.309785849,55.33136959,female,pregnant,30.10599458,-8.846878748,37.04,30,83.09,37.95,High
451,FARM_005,sheep,Rambouillet,4.209264972,51.89907816,female,pregnant,32.72737451,-0.829774507,38.15,28,83.87,38.58,High
721,FARM_008,sheep,Suffolk,1.588893636,69.65519538,male,pregnant,31.35909652,20.91930047,17.2,51,61.64,16.56,Low
198,FARM_002,cattle,Simmental,8.47578266,448.1355048,male,dry,38.95275237,12.29163764,39.35,73,96.27,38.21,Critical
129,FARM_002,goat,Alpine,2.23001086,55.1691434,male,growing,38.95275237,12.29163764,10.57,60,52.58,14.03,Low
121,FARM_002,goat,Nubian,1.031800038,79.00268652,female,growing,38.95275237,12.29163764,23.43,76,72.06,23.23,Low
364,FARM_004,sheep,Texel,2.930038972,63.78061693,female,growing,30.84617369,26.09993861,25.99,51,73.21,25.02,Low
913,FARM_010,sheep,Merino,3.505728362,66.68304453,male,dry,36.75748878,-9.336751942,18.76,31,62.8,17.61,Low
356,FARM_004,goat,Alpine,6.598679988,65.70260798,male,dry,30.84617369,26.09993861,30.77,76,83.43,32.99,Moderate
597,FARM_006,cattle,Simmental,7.988403724,644.5346409,male,lactating,30.10599458,-8.846878748,14.56,61,58.16,14.44,Low
59,FARM_001,sheep,Dorper,4.52195381,92.82449206,male,lactating,35.61810178,37.53571532,19.51,35,63.88,18.52,Low
82,FARM_001,sheep,Rambouillet,7.742557776,50.60772373,female,lactating,35.61810178,37.53571532,21.4,52,67.23,23.32,Low
567,FARM_006,sheep,Merino,4.486282751,87.14124875,female,pregnant,30.10599458,-8.846878748,31.14,69,82.87,32.65,High
808,FARM_009,goat,Alpine,1.332495331,53.24585957,female,pregnant,38.88621853,-7.677479364,29.07,10,71.29,27.24,Low
184,FARM_002,sheep,Merino,2.264027416,78.39726153,female,pregnant,38.95275237,12.29163764,10.14,73,51.4,9.95,Low
48,FARM_001,sheep,Merino,1.261437321,91.13002803,female,pregnant,35.61810178,37.53571532,11.55,68,53.69,11.64,Low
226,FARM_003,goat,Boer,5.780786967,51.76671893,female,growing,42.99264219,20.05575059,3.84,38,45.39,2.61,Low
803,FARM_009,goat,Toggenburg,6.967491934,48.07367341,female,lactating,38.88621853,-7.677479364,-2.99,61,33.28,-1.63,Low
213,FARM_003,cattle,Holstein,6.686321743,503.9214324,female,growing,42.99264219,20.05575059,4.51,62,43.89,4.29,Low
433,FARM_005,sheep,Texel,2.583953757,69.21198101,male,growing,32.72737451,-0.829774507,27.52,58,76.04,26.89,Moderate
145,FARM_002,sheep,Dorper,6.155109649,96.71835074,female,pregnant,38.95275237,12.29163764,6.05,78,44.7,8.94,Low
367,FARM_004,goat,Saanen,5.394692391,61.93282335,female,pregnant,30.84617369,26.09993861,24.39,20,68.03,23.7,Low
130,FARM_002,cattle,Angus,8.157405807,480.650928,female,pregnant,38.95275237,12.29163764,23.12,76,71.52,23.57,Low
957,FARM_010,goat,Boer,4.463296438,66.9615147,female,lactating,36.75748878,-9.336751942,24.1,71,72.62,25.74,Low
313,FARM_004,goat,Nubian,4.708310046,65.32758504,female,lactating,30.84617369,26.09993861,35.89,80,92.35,33.79,Critical
639,FARM_007,goat,Toggenburg,6.85712185,67.3381511,male,lactating,32.09240791,4.607232427,11.92,62,54.4,13.24,Low
913,FARM_010,sheep,Merino,3.505728362,66.68304453,male,dry,36.75748878,-9.336751942,30,37,76.31,29.76,Moderate
940,FARM_010,goat,Saanen,4.088453163,43.98318854,male,growing,36.75748878,-9.336751942,-2.63,73,31.78,-1.49,Low
560,FARM_006,goat,Alpine,1.552401916,63.96178349,female,pregnant,30.10599458,-8.846878748,-6.48,57,29.15,-7.11,Moderate
128,FARM_002,goat,Alpine,6.10436476,69.83898102,female,dry,38.95275237,12.29163764,6.12,35,48.36,3.32,Low
685,FARM_007,cattle,Hereford,4.7007774,560.9625037,male,dry,32.09240791,4.607232427,9.96,54,51.97,10.7,Low
906,FARM_010,goat,Boer,3.602165988,73.93887098,male,growing,36.75748878,-9.336751942,40.09,65,95.34,39.29,Critical
711,FARM_008,cattle,Angus,1.822366944,525.9303317,female,lactating,31.35909652,20.91930047,11.03,68,52.94,10.75,Low
83,FARM_001,cattle,Simmental,9.936683165,429.5186259,male,pregnant,35.61810178,37.53571532,1.58,84,36.88,3.6,Low
357,FARM_004,goat,Boer,5.115467626,79.64505727,female,pregnant,30.84617369,26.09993861,31.2,71,83.35,29.9,High
112,FARM_002,goat,Boer,6.371241026,60.46709768,male,growing,38.95275237,12.29163764,29.87,71,81.37,30.4,High
855,FARM_009,goat,Nubian,3.812739283,68.22541585,male,pregnant,38.88621853,-7.677479364,11.15,33,54.27,10,Low
220,FARM_003,cattle,Angus,5.062483219,465.4495285,male,lactating,42.99264219,20.05575059,25.86,46,72.46,25.5,Moderate
347,FARM_004,cattle,Hereford,3.942384547,459.5552201,male,dry,30.84617369,26.09993861,8.44,15,52.26,5.73,Low
698,FARM_007,cattle,Holstein,1.687958749,758.3536725,female,growing,32.09240791,4.607232427,37.24,79,94.31,36.96,Critical
55,FARM_001,cattle,Angus,3.229578906,542.3890715,male,dry,35.61810178,37.53571532,7.81,66,48.32,7.6,Low
705,FARM_008,cattle,Angus,4.191995845,620.2653518,female,dry,31.35909652,20.91930047,28.72,62,78.33,28.94,Moderate
88,FARM_001,cattle,Hereford,6.425036938,508.383057,male,dry,35.61810178,37.53571532,17.54,42,61.81,15.22,Low
93,FARM_001,goat,Nubian,5.877406055,79.98870693,female,pregnant,35.61810178,37.53571532,17.99,57,62.88,18.2,Low
932,FARM_010,sheep,Suffolk,5.037655437,55.96052214,female,lactating,36.75748878,-9.336751942,6.51,90,44.49,9.69,Low
658,FARM_007,goat,Nubian,1.991813717,74.17043156,male,lactating,32.09240791,4.607232427,9.16,46,51.3,8.58,Low
238,FARM_003,sheep,Suffolk,6.486827874,74.04519157,male,lactating,42.99264219,20.05575059,24.25,10,66.92,22.28,Low
899,FARM_009,cattle,Holstein,2.455250979,786.3329279,female,dry,38.88621853,-7.677479364,24.23,54,71.19,21.46,Low
75,FARM_001,cattle,Simmental,8.546326874,570.43659,female,dry,35.61810178,37.53571532,17.37,60,62.11,14.98,Low
662,FARM_007,sheep,Texel,2.747682669,63.16236733,male,lactating,32.09240791,4.607232427,3.92,54,43.84,2.31,Low
724,FARM_008,cattle,Jersey,9.342247117,485.4792566,female,lactating,31.35909652,20.91930047,26.45,63,75.26,28.08,Moderate
557,FARM_006,sheep,Merino,6.165194894,85.2277214,male,lactating,30.10599458,-8.846878748,31.4,66,82.8,33.25,High
442,FARM_005,cattle,Jersey,4.37323211,589.6025714,female,growing,32.72737451,-0.829774507,26.66,66,75.82,28.35,Moderate
269,FARM_003,sheep,Merino,3.298668595,81.51043742,female,pregnant,42.99264219,20.05575059,22.9,59,69.82,24.39,Low
416,FARM_005,cattle,Holstein,3.982123064,592.8164232,female,dry,32.72737451,-0.829774507,24.98,29,69.57,25.62,Low
